City,State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population
Santa Ana,CA,47,1,1,1,1,0,0,1,0,332610.0
Santa Barbara,CA,8,0,0,1,1,0,0,0,1,90911.0
Santa Clara,CA,11,0,0,1,1,0,0,1,0,126723.0
Santa Cruz,CA,7,0,0,1,1,0,0,1,0,65011.0
Santa Maria,CA,12,0,0,1,1,0,0,0,0,105528.0
Santa Monica,CA,9,0,0,1,1,0,0,1,1,91600.0
Santa Rosa,CA,22,0,0,1,0,0,0,1,0,178391.0
Sarasota,FL,17,1,1,0,1,0,0,1,0,57787.0
Savage,MN,1,0,0,1,0,0,0,1,0,31758.0
Savannah,GA,31,1,1,1,1,0,0,1,1,145492.0
Scottsdale,AZ,26,0,1,0,1,0,0,0,0,254995.0
Seal Beach,CA,4,0,0,1,0,0,0,1,0,24268.0
Seattle,WA,76,1,1,1,1,1,1,1,1,741251.0
Simi Valley,CA,9,0,0,1,1,0,0,1,0,125768.0
Sioux,IA,8,1,1,1,0,1,0,1,0,82535.0
Skokie,IL,1,0,0,0,0,0,0,0,0,63300.0
Somerville,MA,5,1,1,1,1,0,0,1,1,81175.0
Sonoma,CA,4,0,0,1,1,0,0,0,0,11082.0
South Bend,IN,19,1,0,1,1,0,0,1,0,102686.0
South Gate,CA,17,0,0,1,1,0,0,1,0,94905.0
South Portland,ME,2,1,1,1,1,0,0,1,0,25665.0
South San Francisco,CA,2,0,0,1,1,0,0,1,0,66878.0
Spokane,WA,41,1,1,1,1,0,1,1,1,219185.0
Springfield,MO,33,0,1,0,1,0,0,1,0,167601.0
St. Louis,MO,209,1,1,1,1,1,1,1,1,304709.0
St. Paul,MN,38,1,1,1,1,1,0,1,1,305877.0
St. Petersburg,FL,46,1,1,1,1,1,1,0,0,264001.0
Statesboro,GA,4,0,1,1,1,0,0,0,0,32115.0
Stockton,CA,73,1,0,1,1,0,1,1,0,311103.0
Sun Prairie,WI,5,0,1,0,1,0,1,1,1,33954.0
Sunnyvale,CA,14,0,0,1,1,0,0,1,0,152569.0
Sunrise,FL,6,0,0,1,1,0,0,0,0,94657.0
Surprise,AZ,5,1,1,1,1,0,0,1,1,139007.0
Syracuse,NY,19,1,0,1,1,0,0,1,0,142553.0
Tacoma,WA,37,0,1,0,0,0,1,0,0,215766.0
Tallahassee,FL,23,0,0,0,1,0,0,1,1,192885.0
Tampa,FL,67,1,1,1,1,1,1,1,1,395912.0
Tempe,AZ,20,1,1,1,1,1,1,1,1,191607.0
Thibodaux,LA,1,0,0,0,1,0,0,1,0,14565.0
Toledo,OH,38,0,1,0,1,0,0,0,0,275116.0
Toms River,NJ,9,1,1,1,1,1,1,1,1,90081.0
Tooele,UT,3,0,1,1,1,0,0,1,0,35313.0
Torrance,CA,19,1,0,1,1,0,0,1,0,144430.0
Tracy,CA,1,1,0,1,1,0,0,1,0,91462.0
Tucson,AZ,136,1,1,1,1,1,1,1,1,545340.0
Tulare,CA,14,0,0,1,1,0,0,1,0,64546.0
Tulsa,OK,110,1,1,0,1,0,0,0,0,402441.0
Turlock,CA,9,0,0,1,1,0,0,1,0,72715.0
Tustin,CA,7,0,0,1,1,0,0,1,0,80815.0
Union,CA,6,1,0,1,1,0,0,1,0,75067.0
University,MO,2,0,1,0,0,0,0,0,1,34336.0
Upland,CA,8,0,1,1,0,0,0,0,0,77348.0
Urbana,IL,1,0,0,0,1,0,0,1,0,42461.0
Vacaville,CA,10,0,0,1,1,0,0,1,0,99958.0
Vallejo,CA,38,1,0,1,1,0,0,1,0,121275.0
Virginia Beach,VA,31,1,0,1,1,0,0,1,1,450882.0
Visalia,CA,29,0,0,1,1,0,0,1,0,133100.0
Vista,CA,16,1,1,1,1,0,0,1,0,100659.0
Walla Walla,WA,1,0,0,0,0,0,0,1,0,32951.0
Walnut Creek,CA,3,0,0,1,1,0,0,1,0,69836.0
Washington,DC,81,1,1,1,0,1,1,0,1,701974.0
Watauga,TX,3,0,1,1,0,0,0,1,0,24487.0
Waukesha,WI,13,0,1,1,0,0,0,0,0,72419.0
Wauwatosa,WI,5,0,1,1,1,0,1,1,0,48143.0
West Covina,CA,12,1,0,1,1,0,0,1,0,105808.0
West Hartford,CT,1,1,1,1,1,0,1,1,1,63023.0
West Lafayette,IN,1,1,0,0,1,0,0,1,0,49668.0
West Palm Beach,FL,35,0,1,0,1,0,1,1,0,111006.0
West Valley,UT,16,1,1,1,1,0,0,1,0,135610.0
Westminster,CA,12,1,0,1,1,0,0,1,0,90857.0
Whittier,CA,18,1,0,1,0,0,0,1,0,84821.0
Wichita,KS,66,0,1,1,1,1,0,1,1,390566.0
Wilmington,DE,19,1,1,1,1,0,0,1,0,70655.0
Wilmington,NC,14,0,1,0,1,0,0,1,1,122162.0
Winchester,VA,10,1,1,1,1,1,0,1,0,27912.0
Winston-Salem,NC,13,1,1,0,1,0,0,0,0,245787.0
Woodinville,WA,2,1,1,1,1,1,1,1,1,13038.0
Worcester,MA,2,1,1,1,0,0,0,1,1,185186.0
Yakima,WA,19,0,0,0,0,0,0,1,0,93829.0
Yonkers,NY,5,0,1,1,1,1,0,1,1,200183.0
York,PA,36,1,1,1,1,1,1,1,1,44019.0
Yuba,CA,9,1,0,1,1,0,0,1,0,66660.0
Zephyrhills,FL,3,0,0,0,0,0,0,0,1,16062.0
